rank,organ,system,n_present,frac_present,spearman_vol_age,spearman_p_bh_fdr,perm_importance,organ_clock_mae,best_pathology,best_cohen_d,best_p,best_p_bh_fdr
78,vertebrae_L1,skeletal,800,0.652,0.17250465764816725,4.400250951812453e-06,0.0043666576345937,11.876768519066731,trauma,0.2876293398776209,0.09732316215496517,0.18837173997237164
79,vertebrae_C1,skeletal,246,0.2,0.012688463788164676,0.8579621196634026,0.00434581330251735,13.857134394884117,trauma,-0.11730947221726863,0.6655324728335877,0.6713704769812507
80,sacrum,skeletal,617,0.503,0.1605325541765376,0.00018538614975355537,0.003851553994357886,12.775596758308245,trauma,0.26329711337719097,0.0807537455185548,0.17322887639122422
81,scapula_right,skeletal,786,0.641,0.047580434424432834,0.24426662199342114,0.0036682865440267423,11.595708762095173,vascular,0.12580894102678353,0.16882094933473107,0.2489026817114625
82,rib_right_10,skeletal,864,0.704,0.08375175804168085,0.031106820429037684,0.003536507554951314,11.956335798080604,vascular,0.19882140617389377,0.07503419008678953,0.1677313548522096
83,vertebrae_L5,skeletal,618,0.504,0.21319312070728147,5.300007555399461e-07,0.003340522100240833,12.515356703656053,inflammation,0.14610933728761594,0.1605548642287487,0.2429448603461329
84,vertebrae_C3,skeletal,229,0.187,0.04027983352726827,0.6452005060126346,0.0030272998678887927,13.246254090033107,tumor,0.16348100286468553,0.36980011118092376,0.4169314979000611
85,lung_upper_lobe_left,respiratory,1023,0.834,0.1374916994146043,3.6332834723964114e-05,0.002930475836103276,11.786221573326932,trauma,0.20486940537787554,0.10363234718159059,0.18837173997237164
86,rib_left_8,skeletal,887,0.723,0.06499531903487521,0.09671876264002235,0.002461327258006207,12.169850963352669,trauma,0.030197715307402676,0.4740163836290581,0.4932258805722014
87,rib_right_12,skeletal,777,0.633,0.009169528119259316,0.8199652913419246,0.002137600782955573,12.167440381268005,trauma,0.35971061521668013,0.049374889029985304,0.14195280596120774
88,rib_left_11,skeletal,855,0.697,0.05350193673537128,0.17622516130959373,0.0016430411565982437,12.2251688331777,trauma,0.4190451577133969,0.007788997855162862,0.06890267333413301
89,rib_left_12,skeletal,786,0.641,0.022684335217876394,0.6293877394916121,0.0015990053098211738,12.06252293267913,vascular,0.02975616987766098,0.4803591184703179,0.4932258805722014
90,vertebrae_T7,skeletal,744,0.606,0.16082772714076587,3.6332834723964114e-05,0.0015582845889372625,11.271535654625696,vascular,0.13988726387251782,0.11501125838797177,0.19740738380025005
91,vertebrae_T8,skeletal,795,0.648,0.15697743425402336,3.3422160491452653e-05,0.0010686833006804618,11.60899092746502,vascular,0.20113845271721303,0.029030099161559495,0.1349244274222402
92,stomach,digestive,904,0.737,-0.06376528759609329,0.09936919681428817,0.00010144865081006538,11.989608046684817,vascular,0.07630940833092519,0.2671548633102897,0.32002926334045123
93,gluteus_medius_right,muscular,613,0.5,-0.06092124453835613,0.1944646765230084,3.766665157943563e-05,12.81631634475369,inflammation,0.1323338105783075,0.2588557108318695,0.3166851781453722
94,kidney_cyst_right,urinary,24,0.02,,,0.0,,,,,
95,kidney_cyst_left,urinary,29,0.024,,,-4.517870067729746e-05,,,,,
96,iliac_vena_right,cardiovascular,627,0.511,-0.03057987198984611,0.5498321659026728,-0.002268656769029001,13.051981783401725,tumor,0.0017809797247256027,0.45718884700304635,0.48945289441164574
97,lung_middle_lobe_right,respiratory,880,0.717,0.0661358284815012,0.09397603312161086,-0.0027368856354721416,11.495794312438129,trauma,0.03811081971664955,0.4639162216597338,0.48945289441164574
98,humerus_right,skeletal,617,0.503,0.0516677869056196,0.25743174859524615,-0.0034479128186741203,11.766437001635769,trauma,0.6048533754278375,6.619952338339983e-05,0.0019032362972727453
99,rib_right_11,skeletal,863,0.703,0.05836269336988316,0.13461637888141637,-0.0037771836337306295,12.109495997958899,inflammation,0.23981336502056852,0.06000878468053148,0.15335578307246933
100,gallbladder,digestive,655,0.534,-0.016105597903462682,0.7404813674326486,-0.005214741682603155,12.358062157865147,inflammation,0.26662211783848827,0.03833525019923698,0.1377673054035079
101,rib_left_2,skeletal,752,0.613,0.02334909169287564,0.6293877394916121,-0.00595547315475006,11.769845664376966,inflammation,0.24654342267337306,0.040892046481985786,0.13800766665348468
102,costal_cartilages,skeletal,1016,0.828,0.10793309467387512,0.001556816819572927,-0.006353768915669347,11.79603493995256,inflammation,0.417694732475492,0.0008581896891174162,0.01409883060692898
103,lung_lower_lobe_right,respiratory,990,0.807,0.044796941984581985,0.21820230407487667,-0.007068550783992117,11.863672423593144,tumor,-0.008216977875770932,0.6887032779893372,0.6887032779893372
104,vertebrae_C6,skeletal,556,0.453,0.022862615764006854,0.6724788305065188,-0.007667513812841734,12.252368583353476,trauma,0.17717124448938396,0.06974135329841755,0.16293839443074884
105,vertebrae_T2,skeletal,724,0.59,0.06841298121419359,0.11128027082784676,-0.007859543220727936,11.84320673364003,trauma,0.49826982121402535,0.0010415864422542503,0.014481123548064656
106,rib_right_3,skeletal,766,0.624,0.013483566534914284,0.748507525413206,-0.008030880820162557,11.444432340334894,tumor,0.1320919680526132,0.04842479414518384,0.14195280596120774
107,clavicula_left,skeletal,727,0.593,0.0010659018536986558,0.9771115137363573,-0.008062891227652465,11.964998743788488,trauma,0.033997962702384914,0.4543234124879829,0.48945289441164574
108,rib_right_5,skeletal,839,0.684,0.045286912903631266,0.2511961176360795,-0.008491690717916818,12.246425491852651,tumor,0.2094574707788462,0.02321161694056344,0.1213334521893089
109,small_bowel,digestive,810,0.66,0.06574052393955282,0.10549806881452715,-0.008959564500311075,12.63231908006056,tumor,0.0014557440272695726,0.462790046161833,0.48945289441164574
110,lung_upper_lobe_right,respiratory,894,0.729,0.12560320736746475,0.00047848215875846494,-0.009166735805294337,11.678025321992816,vascular,0.16571270462976095,0.02994355510680022,0.1349244274222402
111,common_carotid_artery_left,cardiovascular,753,0.614,0.2688806578260505,1.0115895086545846e-12,-0.00930146954889075,11.175929420045172,trauma,0.44525600381356567,0.0038887353188884846,0.04065496015201597
112,iliac_vena_left,cardiovascular,635,0.518,-0.016262124853090407,0.7404813674326486,-0.009358678424972382,12.988202858815425,inflammation,0.2088403386545917,0.10534397452864247,0.18837173997237164
113,vertebrae_T4,skeletal,738,0.601,0.15113269821367642,0.00011651858889603423,-0.011236032775134283,11.771799996731646,inflammation,0.1490443969188744,0.17454530497957854,0.25090887590814415
114,clavicula_right,skeletal,721,0.588,0.03268722173426723,0.4760087129989527,-0.015873475545602707,11.826199713764657,trauma,0.2592358940259939,0.08451313757120815,0.17670928764888977
115,gluteus_medius_left,muscular,624,0.509,-0.07634514376072267,0.10021357151524647,-0.018752620712339692,12.54778639429332,inflammation,0.12840826948537126,0.1580132756880407,0.2422870227216624
116,sternum,skeletal,955,0.778,0.14907455723504157,1.5259266868684483e-05,-0.01966029713474704,11.515859623395064,trauma,0.2323698196571111,0.17310909527275958,0.25090887590814415
117,urinary_bladder,urinary,570,0.465,-0.05413433452043974,0.25726045939926734,-0.024247693043832435,12.903706561511072,tumor,0.10641673149842466,0.1963488065163782,0.2628413358849501
