SEQN,n_valid_days,cal_ok,steps_per_day,mvpa_min,light_min,sed_min,mean_intensity,peak1min,wear_min,steps_cv,mvpa_cv,sed_frac,active_frac
40641.0,7,True,6249.714285714285,40.714285714285715,99.14285714285714,1300.142857142857,139.92341269841268,2968.714285714286,1440.0,1.2554288166378291,1.4267275324071997,0.9028769841269842,0.09712301587301586
40643.0,7,True,7707.0,5.428571428571429,362.0,1072.5714285714287,127.33869047619048,2741.714285714286,1440.0,0.2940683707631389,0.8296780405491813,0.74484126984127,0.25515873015873014
40651.0,7,True,1688.4285714285713,7.857142857142857,46.714285714285715,1385.4285714285713,37.07946428571428,2281.4285714285716,1440.0,2.4128119127990173,1.8696945140202923,0.9621031746031746,0.037896825396825394
40653.0,7,True,8245.714285714286,49.57142857142857,306.0,1084.4285714285713,250.14365079365078,5813.0,1440.0,0.49933696902437147,0.6743967406082418,0.7530753968253968,0.24692460317460316
40655.0,7,True,6376.571428571428,15.714285714285714,232.28571428571428,1192.0,144.87956349206348,3398.1428571428573,1440.0,0.3144394255955207,0.5712101117238185,0.8277777777777777,0.1722222222222222
40658.0,7,True,9577.142857142857,28.142857142857142,307.57142857142856,1104.2857142857142,157.9481150793651,3230.1428571428573,1440.0,0.1677536530521661,0.2740333284036275,0.7668650793650793,0.23313492063492064
40659.0,7,True,11131.857142857143,24.0,371.42857142857144,1044.5714285714287,204.27400793650796,4886.857142857143,1440.0,0.38509821074235545,0.6666666666666666,0.7253968253968254,0.27460317460317457
40660.0,7,True,20232.571428571428,97.85714285714286,437.7142857142857,904.4285714285714,433.14226190476194,5850.857142857143,1440.0,0.13964277795118205,0.2683935418888655,0.6280753968253968,0.3719246031746032
40661.0,7,True,9897.714285714286,7.285714285714286,333.42857142857144,1099.2857142857142,153.14345238095237,2902.8571428571427,1440.0,0.229138547671913,1.06527927842811,0.763392857142857,0.23660714285714285
40664.0,7,True,5208.142857142857,4.0,241.0,1195.0,86.8045634920635,2309.8571428571427,1440.0,0.5359972849627529,0.6922186552431729,0.829861111111111,0.1701388888888889
40671.0,7,True,4.428571428571429,0.14285714285714285,0.42857142857142855,1439.4285714285713,0.4514880952380952,580.5714285714286,1440.0,1.7189846078017026,0.3779644730092273,0.9996031746031745,0.0003968253968253968
40674.0,7,True,4663.714285714285,5.428571428571429,222.14285714285714,1212.4285714285713,83.83422619047619,3180.1428571428573,1440.0,0.3671747224305589,1.0137558044346433,0.8419642857142858,0.1580357142857143
40680.0,7,True,3436.714285714286,7.142857142857143,152.0,1280.857142857143,74.92559523809523,3886.1428571428573,1440.0,0.7417374162644635,0.6386443976632589,0.8894841269841268,0.110515873015873
40681.0,7,True,5989.571428571428,10.285714285714286,180.85714285714286,1248.857142857143,92.59712301587301,3671.285714285714,1440.0,0.6502729891699955,1.4482677321090576,0.8672619047619047,0.13273809523809524
